#,Company,Symbol,Weight,Price,Change
272,AMETEK Inc.,AME,0.078312,80.81,0.0
273,DXC Technology Co.,DXC,0.077375,65.75,0.0
274,KeyCorp,KEY,0.077255,17.3,-0.08
275,KLA-Tencor Corporation,KLAC,0.077194,119.92,0.3
276,IDEXX Laboratories Inc.,IDXX,0.076982,216.21,0.0
277,Align Technology Inc.,ALGN,0.076386,252.33,0.0
278,Freeport-McMoRan Inc.,FCX,0.075344,12.42,0.07
279,Fastenal Company,FAST,0.075024,62.28,0.0
280,Ulta Beauty Inc,ULTA,0.07483,338.9,0.49
281,Newmont Mining Corporation,NEM,0.074784,33.11,-0.03
282,Ameriprise Financial Inc.,AMP,0.074736,129.05,0.0
283,Cintas Corporation,CTAS,0.074303,204.55,-1.0
284,Ameren Corporation,AEE,0.074186,73.04,0.0
285,Mettler-Toledo International Inc.,MTD,0.074139,708.58,0.0
286,Hartford Financial Services Group Inc.,HIG,0.073307,48.82,0.0
287,First Republic Bank,FRC,0.07328,103.56,0.0
288,Republic Services Inc.,RSG,0.072576,78.63,0.0
289,Cadence Design Systems Inc.,CDNS,0.072534,60.99,0.0
290,NetApp Inc.,NTAP,0.071983,68.0,-0.06
291,Entergy Corporation,ETR,0.07198,94.66,0.0
292,Citizens Financial Group Inc.,CFG,0.071809,35.87,0.0
293,Omnicom Group Inc,OMC,0.071485,75.47,0.0
294,McCormick & Company Incorporated,MKC,0.071316,139.99,0.0
295,MSCI Inc. Class A,MSCI,0.069865,189.58,0.0
296,Regions Financial Corporation,RF,0.069229,15.74,0.0
297,CBS Corporation Class B,CBS,0.068802,47.7,0.0
298,Church & Dwight Co. Inc.,CHD,0.068669,67.4,0.0
299,Best Buy Co. Inc.,BBY,0.068443,69.63,0.0
300,L3 Technologies Inc,LLL,0.06778,207.07,0.0
301,Diamondback Energy Inc.,FANG,0.06753,102.39,0.0
302,Keysight Technologies Inc,KEYS,0.067166,85.98,0.0
303,Synopsys Inc.,SNPS,0.067066,110.12,0.95
304,CBRE Group Inc. Class A,CBRE,0.066811,50.64,0.0
305,Chipotle Mexican Grill Inc.,CMG,0.066692,639.16,0.16
306,Total System Services Inc.,TSS,0.066353,94.71,0.36
307,CMS Energy Corporation,CMS,0.065869,55.53,0.0
308,Genuine Parts Company,GPC,0.065726,107.06,0.01
309,Laboratory Corporation of America Holdings,LH,0.065609,154.36,0.0
310,Evergy Inc.,EVRG,0.065098,57.6,-0.07
311,Hershey Company,HSY,0.06506,110.38,-0.41
312,Cardinal Health Inc.,CAH,0.06425,50.27,0.0
313,Arista Networks Inc.,ANET,0.063745,296.33,-0.43
314,ANSYS Inc.,ANSS,0.06373,180.38,0.0
315,Huntington Bancshares Incorporated,HBAN,0.063415,13.87,0.12
316,HCP Inc.,HCP,0.063343,31.13,-0.0
317,Alexandria Real Estate Equities Inc.,ARE,0.063208,140.52,-0.0
318,CenterPoint Energy Inc.,CNP,0.063021,30.81,0.0
319,Maxim Integrated Products Inc.,MXIM,0.062848,54.14,0.0
320,Incyte Corporation,INCY,0.062197,84.8,0.0
321,Symantec Corporation,SYMC,0.06207,22.7,-0.32
322,Marathon Oil Corporation,MRO,0.061858,17.27,0.0
323,Vulcan Materials Company,VMC,0.061689,111.23,-1.36
324,ABIOMED Inc.,ABMD,0.061611,333.23,0.0
325,Hess Corporation,HES,0.061556,58.25,0.0
326,Skyworks Solutions Inc.,SWKS,0.061373,83.5,-0.26
327,Mylan N.V.,MYL,0.06087,28.09,0.0
328,Arthur J. Gallagher & Co.,AJG,0.060815,80.28,0.0
329,Cooper Companies Inc.,COO,0.060628,295.23,0.0
330,Expedia Group Inc.,EXPE,0.060457,121.56,0.0
331,ResMed Inc.,RMD,0.060304,100.37,0.0
332,Host Hotels & Resorts Inc.,HST,0.059754,19.16,0.0
333,Baker Hughes a GE Company Class A,BHGE,0.059359,27.85,0.0
334,Teleflex Incorporated,TFX,0.059194,302.9,0.0
335,Lennar Corporation Class A,LEN,0.059103,47.73,0.0
336,D.R. Horton Inc.,DHI,0.05878,40.76,0.0
337,Devon Energy Corporation,DVN,0.058632,29.75,0.11
338,Western Digital Corporation,WDC,0.058355,48.08,-0.02
339,Principal Financial Group Inc.,PFG,0.057778,52.17,0.0
340,Xylem Inc.,XYL,0.057716,76.74,0.0
341,Darden Restaurants Inc.,DRI,0.057545,113.95,3.29
342,Kellogg Company,K,0.057447,54.35,0.08
343,MGM Resorts International,MGM,0.057089,26.05,0.03
344,W.W. Grainger Inc.,GWW,0.057001,297.18,0.0
345,Expeditors International of Washington Inc.,EXPD,0.056581,76.01,0.0
346,Dover Corporation,DOV,0.056519,90.69,0.0
347,Comerica Incorporated,CMA,0.056348,82.27,0.0
348,Lincoln National Corporation,LNC,0.056346,62.72,0.0
349,Loews Corporation,L,0.05622,47.78,0.0
350,Equifax Inc.,EFX,0.055623,111.02,0.0
351,American Airlines Group Inc.,AAL,0.055461,31.54,0.11
352,Celanese Corporation,CE,0.055173,101.23,0.0
353,Apache Corporation,APA,0.05495,34.2,-0.25
354,Gartner Inc.,IT,0.054935,145.04,0.0
355,Citrix Systems Inc.,CTXS,0.054922,100.88,0.0
356,SVB Financial Group,SIVB,0.054463,246.21,0.0
357,Cincinnati Financial Corporation,CINF,0.054432,85.62,0.0
358,Textron Inc.,TXT,0.054323,51.78,0.0
359,Hologic Inc.,HOLX,0.054314,47.63,0.0
360,AmerisourceBergen Corporation,ABC,0.053643,80.18,0.0
361,E*TRADE Financial Corporation,ETFC,0.053543,49.02,0.0
362,Extra Space Storage Inc.,EXR,0.053368,99.78,0.0
363,International Flavors & Fragrances Inc.,IFF,0.053332,124.59,0.0
364,Varian Medical Systems Inc.,VAR,0.0531,136.6,0.0
365,UDR Inc.,UDR,0.052916,45.13,-0.0
366,C.H. Robinson Worldwide Inc.,CHRW,0.052307,89.0,0.0
367,Seagate Technology PLC,STX,0.051972,47.5,-0.18
368,Mid-America Apartment Communities Inc.,MAA,0.05164,107.67,0.0
369,NRG Energy Inc.,NRG,0.051542,41.97,0.0
370,Fortinet Inc.,FTNT,0.051124,83.27,0.01
371,Norwegian Cruise Line Holdings Ltd.,NCLH,0.051105,56.08,0.53
372,Broadridge Financial Solutions Inc.,BR,0.050892,103.55,0.0
